County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Bernalillo,0,0,0,0,0,0,1,1,3,4,4,7,7,7,7
Catron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cibola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colfax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Baca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dona Ana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddy,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadalupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hidalgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Alamos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McKinley,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Mora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Arriba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roosevelt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandoval,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2
San Juan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Miguel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Socorro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torrance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
