County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Albany,127,146,152,171,187,195,205,217,226,240,253,267
Allegany,2,2,2,2,2,2,6,7,9,10,12,14
Bronx,0,0,0,0,0,0,0,0,0,0,0,0
Broome,3,9,11,16,18,23,29,35,38,42,46,56
Cattaraugus,0,0,0,0,0,1,4,6,6,7,8,9
Cayuga,0,2,2,2,2,2,2,3,4,4,4,6
Chautauqua,0,2,2,2,2,5,7,7,7,8,8,9
Chemung,2,3,3,7,11,12,15,15,20,22,22,35
Chenango,2,3,3,3,4,8,15,17,19,26,28,32
Clinton,4,6,10,11,11,12,13,17,21,25,25,30
Columbia,17,18,19,24,27,30,30,36,36,41,45,51
Cortland,2,2,3,3,4,7,8,10,10,10,11,14
Delaware,1,3,5,7,8,8,8,11,16,20,22,24
Dutchess,100,124,153,190,225,262,320,392,484,547,667,809
Erie,87,114,122,206,245,318,414,443,499,582,617,734
Essex,3,3,4,5,5,5,5,5,5,6,7,7
Franklin,0,0,1,1,2,5,6,6,6,9,9,10
Fulton,1,1,1,1,1,1,1,1,1,2,6,6
Genesee,1,1,2,4,6,7,9,9,11,13,16,17
Greene,2,4,4,5,6,7,7,10,10,18,21,23
Hamilton,2,2,2,2,2,2,2,2,2,2,2,2
Herkimer,3,4,5,7,9,9,10,12,12,12,14,14
Jefferson,1,2,2,4,4,6,7,11,11,12,15,18
Kings,0,0,0,0,0,0,0,0,0,0,0,0
Lewis,0,0,0,0,0,0,0,0,2,2,2,2
Livingston,2,3,3,3,3,10,10,13,15,18,18,18
Madison,1,4,7,9,17,28,29,42,49,62,68,77
Monroe,81,106,118,148,166,202,219,246,257,349,420,464
Montgomery,3,3,4,5,5,6,6,6,6,7,8,10
Nassau,2442,2869,3285,3914,4657,5537,6445,7344,8544,9554,10587,12024
New York,12305,14904,17856,21873,25573,29776,33768,37453,43119,47439,51809,57159
Niagara,9,10,12,14,23,33,38,41,41,46,91,94
Oneida,5,10,10,13,13,23,26,34,34,50,61,71
Onondaga,53,60,81,111,123,146,194,228,249,277,301,322
Ontario,4,6,9,11,14,16,18,20,20,24,26,28
Orange,389,498,638,751,910,1101,1247,1435,1556,1756,1993,2397
Orleans,0,0,0,2,3,3,3,4,5,6,6,6
Oswego,2,2,2,4,4,9,10,15,15,20,23,28
Otsego,1,1,2,3,5,7,10,17,17,19,21,21
Putnam,31,82,84,94,111,131,144,167,167,207,216,252
Queens,0,0,0,0,0,0,0,0,0,0,0,0
Rensselaer,20,33,33,44,44,51,51,52,54,55,60,67
Richmond,0,0,0,0,0,0,0,0,0,0,0,0
Rockland,592,671,968,1197,1457,1896,2209,2511,2863,3321,3751,4289
St. Lawrence,0,1,1,4,4,8,12,13,23,34,39,43
Saratoga,35,53,64,73,82,96,102,108,108,122,132,141
Schenectady,32,44,55,62,66,72,76,80,85,93,101,110
Schoharie,1,1,2,2,3,5,5,6,6,9,9,11
Schuyler,0,0,0,0,0,1,1,2,2,2,3,3
Seneca,0,0,0,0,0,0,0,0,0,2,4,6
Steuben,4,8,8,11,12,13,17,19,19,38,43,46
Suffolk,1458,1880,2260,2735,3385,4138,5023,5791,6713,7605,8746,10154
Sullivan,12,23,39,53,64,72,88,101,106,121,143,168
Tioga,1,1,1,2,2,6,6,7,8,8,8,8
Tompkins,15,16,18,23,32,48,56,70,73,76,80,87
Ulster,18,35,65,78,98,133,146,190,207,222,240,263
Warren,1,2,2,2,8,13,18,18,18,18,18,19
Washington,1,3,4,4,6,9,9,9,9,11,12,15
Wayne,3,6,7,8,11,12,12,15,15,24,27,30
Westchester,2894,3891,4691,5944,7187,7875,8519,9326,9967,10683,11567,12351
Wyoming,2,4,4,7,7,7,8,8,8,10,14,15
Yates,0,0,0,0,0,0,0,0,0,0,1,1
Out of NY,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,107,0,0,0,0,0,0,0,0,0,0,0
