County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Albany,0,0,0,0,0,0,1,1,1,1,2,2,6,8,8
Allegany,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Bronx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broome,1,1,2,2,2,3,3,3,3,3,4,4,4,5,5
Cattaraugus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayuga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chautauqua,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2
Chemung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chenango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3
Cortland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Dutchess,1,1,1,1,1,2,2,2,3,4,5,5,5,8,9
Erie,0,0,1,2,5,6,7,7,8,11,12,19,22,27,30
Essex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genesee,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Greene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herkimer,0,0,0,0,0,1,2,2,2,2,2,2,3,3,3
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Livingston,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Madison,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2
Monroe,2,3,3,4,4,5,5,6,8,9,9,10,14,19,26
Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Nassau,4,9,17,17,19,27,39,39,48,76,76,95,95,162,162
New York,99,131,199,281,366,517,678,790,932,1139,1397,1584,1905,2256,3485
Niagara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oneida,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2
Onondaga,0,1,1,1,1,1,1,1,1,1,2,3,4,5,5
Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orange,0,0,1,1,1,4,5,5,5,19,19,30,40,53,76
Orleans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oswego,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otsego,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Putnam,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7
Queens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rensselaer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Richmond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockland,1,5,5,5,7,8,8,8,8,18,18,42,69,69,119
St. Lawrence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saratoga,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4
Schenectady,0,0,1,1,1,1,1,1,1,1,1,5,5,7,7
Schoharie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schuyler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seneca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steuben,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Suffolk,13,17,20,22,30,30,40,40,44,53,69,84,124,175,199
Sullivan,0,0,0,0,0,0,0,0,1,1,4,5,5,5,6
Tioga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tompkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulster,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4
Warren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Wayne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Westchester,0,1,1,1,1,10,10,10,10,25,64,67,67,67,211
Wyoming,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Yates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,36,39,31,45,87,109,159,298,468,565,675,955,1173,1260,309
