County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Alamance,2,3,3,4,5,5,6,7,7,7,13,14
Alexander,0,0,0,0,0,1,1,1,2,2,2,2
Alleghany,0,0,0,0,0,1,2,2,2,2,2,2
Anson,0,0,0,0,0,0,0,0,1,1,1,3
Ashe,0,0,0,0,0,0,0,0,0,0,0,1
Avery,0,0,0,0,0,0,0,0,0,0,0,0
Beaufort,0,2,3,3,3,3,3,4,5,7,7,8
Bertie,0,1,3,3,3,3,3,5,6,6,6,6
Bladen,0,0,0,0,0,0,0,0,0,0,1,1
Brunswick,8,10,10,11,11,12,12,14,16,16,23,23
Buncombe,8,12,12,15,15,17,19,20,22,22,22,31
Burke,0,0,2,2,3,4,4,5,6,6,9,10
Cabarrus,6,10,12,18,22,31,32,38,47,47,50,58
Caldwell,0,1,3,3,3,3,3,3,3,3,3,3
Camden,0,0,0,0,0,0,0,0,0,0,0,0
Carteret,5,5,5,5,5,7,7,11,12,14,14,16
Caswell,0,0,0,0,0,1,1,1,1,1,1,1
Catawba,4,4,4,9,10,10,14,14,14,16,16,20
Chatham,3,3,6,9,11,12,13,14,16,16,19,19
Cherokee,4,4,4,4,4,4,6,7,7,11,11,11
Chowan,1,1,0,0,0,0,0,0,0,0,1,1
Clay,0,0,0,0,0,0,0,0,1,3,3,3
Cleveland,0,0,2,2,2,3,5,7,6,6,7,10
Columbus,0,0,0,0,0,2,3,3,4,4,4,5
Craven,2,3,3,3,4,4,5,5,6,7,10,13
Cumberland,3,5,8,8,8,8,13,15,18,24,27,35
Currituck,0,0,0,0,0,0,1,1,1,1,2,2
Dare,0,0,1,1,2,2,2,1,2,2,3,3
Davidson,2,3,3,4,12,14,16,17,22,41,41,51
Davie,1,1,1,1,2,6,6,6,11,12,12,12
Duplin,0,1,1,1,1,1,1,1,1,2,2,4
Durham,41,71,74,93,93,113,113,107,122,126,147,159
Edgecombe,0,0,0,0,0,1,1,1,3,3,4,4
Forsyth,12,14,15,17,24,33,35,40,42,57,63,80
Franklin,4,4,5,5,5,5,5,5,11,11,12,13
Gaston,4,4,6,12,17,17,21,25,27,31,33,39
Gates,0,0,0,0,0,0,0,0,0,0,1,1
Graham,0,0,0,0,0,0,0,0,0,0,0,0
Granville,1,1,1,1,3,3,6,6,9,16,20,22
Greene,0,0,0,0,0,3,3,3,3,4,5,5
Guilford,11,16,22,24,31,34,39,44,50,55,74,88
Halifax,0,0,0,0,1,1,2,4,6,6,7,7
Harnett,8,9,10,11,11,11,14,14,18,18,19,19
Haywood,0,0,0,0,0,0,0,0,0,0,2,2
Henderson,2,2,2,6,7,9,13,13,18,18,22,22
Hertford,1,1,2,3,3,3,2,3,4,4,4,4
Hoke,1,1,2,2,2,2,3,3,4,4,7,9
Hyde,1,1,1,1,1,1,1,0,0,0,0,0
Iredell,8,9,11,13,15,18,21,25,25,25,36,36
Jackson,1,1,1,1,1,1,1,1,1,1,1,2
Johnston,3,4,8,9,9,9,10,10,14,17,20,25
Jones,0,0,0,0,0,0,0,0,0,0,0,0
Lee,1,1,1,2,2,2,2,2,3,3,3,3
Lenoir,0,1,2,3,3,3,3,3,3,3,5,7
Lincoln,1,1,1,1,1,1,3,3,4,4,8,9
McDowell,0,2,2,2,2,5,5,5,7,8,8,8
Macon,0,0,0,0,0,0,0,0,0,0,1,1
Madison,0,0,0,0,0,0,0,0,0,0,0,0
Martin,0,0,0,0,0,0,0,0,3,3,3,3
Mecklenburg,97,142,170,204,259,299,336,382,420,444,533,601
Mitchell,0,0,0,1,1,1,1,1,1,1,1,1
Montgomery,1,1,1,3,3,3,3,3,5,5,6,8
Moore,2,2,2,3,3,5,7,8,8,8,11,11
Nash,1,4,4,4,4,4,4,4,9,11,11,16
New Hanover,4,10,10,14,15,25,25,27,34,34,42,42
Northampton,1,1,1,3,3,3,25,26,30,30,30,36
Onslow,3,3,4,4,4,4,4,4,7,7,8,10
Orange,6,6,13,16,24,24,29,30,34,34,37,44
Pamlico,0,0,0,0,0,0,0,1,1,1,2,3
Pasquotank,1,1,1,1,1,1,2,2,4,4,7,7
Pender,0,0,0,0,0,0,0,0,0,0,0,1
Perquimans,0,0,0,0,0,1,1,1,1,1,1,1
Person,0,0,1,1,1,1,1,1,2,2,2,2
Pitt,6,6,6,8,8,10,15,20,27,27,29,33
Polk,0,0,0,0,1,2,2,2,3,4,4,6
Randolph,1,3,3,3,8,9,15,15,17,17,19,19
Richmond,0,0,0,0,0,0,0,0,0,0,0,0
Robeson,1,2,2,2,2,2,2,2,3,3,3,3
Rockingham,0,0,0,0,0,0,0,0,2,2,2,3
Rowan,4,5,6,12,12,12,17,18,23,24,31,37
