County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Alamance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alleghany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beaufort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bertie,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Bladen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunswick,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Buncombe,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Burke,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Cabarrus,0,0,1,2,2,2,2,1,1,1,1,1,1,1,1
Caldwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carteret,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Caswell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catawba,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Chatham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherokee,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Chowan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumberland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Currituck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davidson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Davie,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2
Duplin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durham,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Edgecombe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forsyth,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaston,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Gates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guilford,0,0,0,0,0,0,0,0,1,1,3,4,5,5,5
Halifax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harnett,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2
Haywood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henderson,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
Hertford,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Hoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iredell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnston,0,0,0,0,1,1,1,1,1,1,1,2,3,3,3
Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lenoir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McDowell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mecklenburg,0,0,0,0,0,0,1,1,1,1,3,3,4,4,7
Mitchell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Moore,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Nash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hanover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northampton,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Onslow,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pamlico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasquotank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perquimans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randolph,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Richmond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robeson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockingham,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Rowan,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Rutherford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sampson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stanly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stokes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrrell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Watauga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkes,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Wilson,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Yadkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yancey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
