County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Adams,0,0,0,0,0,0,0,0,0,0,0,0
Barnes,0,0,0,0,0,2,2,2,2,2,2,2
Benson,0,0,0,0,0,0,0,0,0,0,0,0
Billings,0,0,0,0,0,0,0,0,0,0,0,0
Bottineau,0,0,0,0,0,0,0,0,0,0,0,0
Bowman,0,0,0,0,0,0,0,0,0,0,0,0
Burke,0,0,0,0,0,0,0,0,0,2,2,2
Burleigh,16,18,18,22,25,28,28,29,29,32,32,32
Cass,1,3,6,6,11,18,20,24,32,34,43,46
Cavalier,0,0,0,0,0,0,0,0,0,0,0,0
Dickey,0,0,0,0,0,0,0,0,0,0,0,0
Divide,0,0,0,0,0,1,1,1,1,1,1,1
Dunn,0,1,1,1,1,1,1,1,1,1,1,1
Eddy,0,0,0,0,0,0,0,0,0,0,0,1
Emmons,0,0,0,0,0,0,0,0,0,0,0,0
Foster,0,0,1,1,1,1,1,1,1,1,1,1
Golden Valley,0,0,0,0,0,0,0,0,0,0,0,0
Grand Forks,0,0,0,0,0,0,0,2,2,5,5,6
Grant,0,0,0,0,0,0,0,0,1,1,1,1
Griggs,0,0,0,0,0,0,0,0,0,0,0,0
Hettinger,0,0,0,0,0,0,0,0,0,0,0,0
Kidder,0,0,0,0,0,0,0,0,0,0,0,0
LaMoure,0,0,0,0,0,0,0,0,0,0,0,0
Logan,0,0,0,0,0,0,0,0,0,0,0,0
McHenry,0,0,0,1,1,1,1,1,1,1,1,1
McIntosh,0,0,0,0,1,1,1,1,1,1,1,1
McKenzie,0,0,0,0,0,0,0,0,0,1,2,2
McLean,0,0,0,0,0,2,2,2,2,2,2,2
Mercer,0,0,0,0,0,1,1,0,0,0,0,0
Morton,7,7,8,8,11,13,14,14,14,14,14,16
Mountrail,0,0,0,0,0,2,2,4,5,6,8,11
Nelson,0,0,0,0,0,0,0,0,0,0,0,0
Oliver,0,0,0,0,0,0,0,1,1,1,1,1
Pembina,0,0,0,0,0,0,0,0,0,0,0,0
Pierce,2,2,2,2,2,2,2,2,2,2,2,2
Ramsey,1,1,3,3,3,3,3,3,3,3,3,3
Ransom,0,0,0,0,0,0,0,0,0,0,0,0
Renville,0,0,0,0,0,0,0,0,0,0,0,0
Richland,0,0,0,0,0,0,0,0,0,0,0,0
Rolette,0,0,0,0,0,0,0,0,0,1,0,0
Sargent,0,0,0,0,0,0,0,0,0,0,0,0
Sheridan,0,0,0,0,0,0,0,0,0,0,0,0
Sioux,0,0,0,0,0,1,1,1,1,1,1,1
Slope,0,0,0,0,0,0,0,0,0,0,0,1
Stark,0,0,2,3,7,9,10,10,11,14,18,19
Steele,0,0,0,0,0,0,0,0,0,0,0,0
Stutsman,0,0,0,0,0,0,0,0,0,0,0,0
Towner,0,0,0,0,0,0,0,0,0,0,0,0
Traill,0,0,0,0,0,0,0,0,0,0,0,0
Walsh,0,1,1,1,1,1,1,1,1,1,1,1
Ward,3,3,3,3,4,7,7,9,9,12,13,14
Wells,0,0,0,0,0,0,0,0,0,0,0,0
Williams,0,0,0,0,0,0,0,0,2,3,4,5
Out of ND,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0
