County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bottineau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burleigh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cass,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Cavalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dickey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emmons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Forks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Griggs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hettinger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LaMoure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McHenry,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
McIntosh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McKenzie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McLean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morton,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Mountrail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pembina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramsey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ransom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rolette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sargent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheridan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sioux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stutsman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Towner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Traill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
