County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Adams,0,0,0,0,0,0,0,0,0,0,0,0
Allen,0,0,0,0,0,2,4,4,5,6,10,12
Ashland,1,1,1,1,3,3,2,2,2,2,3,4
Ashtabula,3,3,3,3,5,6,6,6,6,6,8,9
Athens,0,0,0,1,1,2,3,3,3,3,3,3
Auglaize,0,0,0,0,0,1,2,2,2,3,3,4
Belmont,2,2,3,3,6,8,8,8,9,11,12,14
Brown,0,0,0,0,0,0,0,1,2,2,2,3
Butler,17,18,18,21,23,25,27,30,36,41,45,49
Carroll,2,3,3,3,3,3,4,5,5,5,5,5
Champaign,0,1,1,2,2,2,2,3,3,4,4,5
Clark,1,2,2,2,2,2,7,6,6,6,7,7
Clermont,5,5,5,6,6,8,8,9,10,11,14,17
Clinton,1,1,2,2,2,3,3,3,3,4,5,6
Columbiana,2,3,4,5,7,9,11,11,15,19,22,26
Coshocton,3,3,4,4,4,4,4,5,5,7,8,10
Crawford,0,1,1,1,1,2,2,5,5,5,6,7
Cuyahoga,149,167,206,259,330,370,440,493,527,589,663,780
Darke,1,1,1,1,1,1,3,12,13,22,22,28
Defiance,2,2,2,2,5,5,5,5,5,6,6,7
Delaware,7,11,12,15,20,26,31,38,42,47,50,61
Erie,1,1,2,3,3,5,5,5,5,5,5,6
Fairfield,0,2,5,6,8,14,14,13,14,22,28,32
Fayette,0,0,1,1,1,1,1,1,1,1,1,1
Franklin,44,75,88,109,152,222,247,281,325,391,441,503
Fulton,0,0,0,0,2,2,2,2,2,2,3,4
Gallia,1,1,1,1,1,1,1,1,1,1,3,4
Geauga,2,5,4,7,10,14,17,22,24,25,33,41
Greene,1,3,3,3,3,3,3,3,6,8,8,9
Guernsey,0,0,0,0,0,0,0,0,0,0,1,1
Hamilton,26,38,48,53,63,71,85,101,124,154,178,203
Hancock,1,1,1,2,2,3,3,3,5,6,8,9
Hardin,0,0,0,0,0,0,0,0,0,0,1,1
Harrison,0,0,0,0,0,0,0,0,0,0,0,0
Henry,0,0,0,0,0,0,0,0,0,0,0,0
Highland,1,1,1,1,1,1,1,1,1,2,3,3
Hocking,0,0,0,0,0,0,0,0,0,0,0,0
Holmes,0,0,0,0,0,0,0,1,1,1,1,2
Huron,1,2,2,3,3,3,3,3,4,4,4,5
Jackson,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,1,1,5,5,7,11,11,13,16
Knox,1,1,2,2,2,2,3,3,4,4,5,5
Lake,8,11,14,19,27,30,35,43,44,48,62,65
Lawrence,0,0,1,1,1,1,1,1,1,1,2,3
Licking,1,2,3,5,10,14,15,21,25,24,30,35
Logan,1,2,2,2,2,3,3,3,3,3,3,3
Lorain,24,30,37,44,56,65,74,78,82,85,90,95
Lucas,10,13,23,35,48,67,94,114,133,171,206,233
Madison,1,1,2,3,3,4,4,5,7,9,11,13
Mahoning,23,28,42,51,68,80,84,117,153,177,192,220
Marion,3,4,4,4,5,5,6,7,8,9,10,11
Medina,15,15,22,24,32,37,45,48,55,59,68,79
Meigs,0,0,0,0,0,0,0,0,0,0,0,0
Mercer,0,0,1,1,2,2,2,2,2,4,5,6
Miami,17,19,19,20,32,38,43,46,52,60,62,66
Monroe,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery,7,10,14,14,19,20,25,31,37,41,49,57
Morgan,0,0,0,0,0,0,0,0,0,0,0,0
Morrow,0,0,0,0,0,0,0,0,0,1,1,1
Muskingum,0,0,0,1,2,2,2,2,2,2,3,4
Noble,0,0,0,0,0,0,0,0,0,0,0,0
Ottawa,0,0,0,0,0,1,1,2,2,4,5,6
Paulding,0,0,0,0,0,0,0,0,0,0,0,0
Perry,0,0,0,0,0,0,0,0,1,2,2,2
Pickaway,0,0,1,2,2,4,4,5,12,12,11,13
Pike,0,0,0,0,0,1,1,1,1,1,1,1
Portage,2,4,4,8,13,19,27,32,38,44,59,64
Preble,0,0,0,0,0,0,0,1,1,1,1,1
Putnam,0,0,0,0,0,0,0,0,0,0,0,0
Richland,1,4,4,4,4,5,5,5,6,8,8,8
Ross,0,0,0,0,0,0,0,1,2,2,3,3
Sandusky,1,1,1,1,1,2,3,3,4,5,5,5
Scioto,0,0,0,0,0,0,0,0,0,0,0,0
Seneca,0,1,1,1,1,1,1,3,3,4,4,5
Shelby,0,0,0,1,1,3,3,4,5,6,6,7
Stark,12,13,13,16,22,25,29,44,45,52,67,72
Summit,28,36,42,50,65,79,99,118,131,144,155,165
Trumbull,3,4,9,12,17,27,36,42,50,58,63,72
Tuscarawas,2,3,3,3,3,5,5,7,7,14,16,18
Union,1,2,3,3,3,3,3,4,4,4,4,4
Van Wert,0,0,0,0,0,1,1,1,1,2,2,2
Vinton,0,0,0,0,0,0,0,0,0,0,0,0
Warren,5,7,8,10,11,16,20,20,21,23,26,31
Washington,1,1,1,1,2,2,3,3,3,3,4,4
Wayne,0,0,1,2,3,4,4,7,9,11,11,13
Williams,0,0,0,0,0,0,0,0,0,0,0,1
Wood,2,2,3,6,8,10,12,13,15,15,18,20
Wyandot,0,0,0,1,1,1,1,1,2,2,2,2
Out of OH,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0
