County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashtabula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athens,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Auglaize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belmont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brown,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Butler,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
Carroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Champaign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clermont,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Clinton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbiana,0,0,0,1,1,1,1,2,2,2,2,3,5,5,5
Coshocton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuyahoga,1,2,2,2,2,3,3,4,6,9,12,13,13,14,15
Darke,0,0,0,0,0,0,0,0,1,1,1,1,2,4,6
Defiance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Erie,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fairfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin,2,2,2,2,2,2,3,2,3,4,5,5,6,8,9
Fulton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallia,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Geauga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greene,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Guernsey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton,0,0,0,0,0,0,0,0,0,0,2,2,2,3,9
Hancock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hocking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holmes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huron,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knox,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Lake,0,0,0,0,0,1,1,1,2,2,3,3,3,3,3
Lawrence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Licking,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
Logan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorain,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3
Lucas,1,1,2,2,2,2,2,3,3,3,3,4,7,8,12
Madison,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
Mahoning,0,0,0,1,2,2,2,4,9,10,11,12,13,15,17
Marion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medina,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3
Meigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercer,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Miami,0,0,1,2,4,4,5,5,6,6,8,8,9,10,10
Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2
Morgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morrow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muskingum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noble,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ottawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paulding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pickaway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portage,0,0,0,0,0,0,0,1,1,1,2,3,3,4,5
Preble,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Putnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandusky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scioto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seneca,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Shelby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stark,1,1,2,2,2,2,2,2,3,3,3,4,5,5,7
Summit,0,0,0,0,1,4,5,5,5,7,7,7,7,9,10
Trumbull,0,0,0,1,1,2,2,2,2,3,6,7,6,7,8
Tuscarawas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Van Wert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vinton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyandot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
