County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Adair,0,0,2,2,3,3,4,4,4,8,9,14
Alfalfa,0,0,0,0,0,0,0,0,0,0,0,0
Atoka,0,0,0,0,0,0,0,0,0,0,1,1
Beaver,0,0,0,0,0,0,0,0,0,0,0,0
Beckham,0,0,0,0,0,0,0,1,1,1,1,1
Blaine,0,0,0,0,0,0,0,0,0,0,0,0
Bryan,0,0,1,1,1,1,1,1,1,1,2,3
Caddo,0,0,0,0,1,1,1,1,1,1,2,2
Canadian,2,4,5,6,11,11,12,15,19,24,28,29
Carter,0,0,1,1,1,1,1,1,1,1,1,1
Cherokee,0,0,0,0,1,1,1,1,4,7,7,7
Choctaw,0,0,0,0,1,1,1,1,1,1,1,1
Cimarron,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland,16,22,27,39,39,46,51,60,65,87,121,130
Coal,0,0,0,0,0,0,0,0,0,0,0,0
Comanche,0,0,0,3,6,6,11,12,15,21,27,33
Cotton,0,0,0,0,0,0,0,1,1,1,1,4
Craig,0,0,0,1,1,1,1,1,1,2,2,2
Creek,0,0,5,10,14,16,16,18,21,27,36,39
Custer,1,2,3,3,3,3,4,4,4,4,5,5
Delaware,0,0,1,1,2,4,4,7,7,8,10,11
Dewey,0,0,0,0,0,0,0,0,0,0,0,0
Ellis,0,0,0,0,0,0,0,0,0,0,0,0
Garfield,0,0,0,0,0,0,2,2,2,4,4,5
Garvin,2,2,2,2,2,2,4,6,6,7,8,8
Grady,1,1,1,2,2,2,2,3,2,3,3,5
Grant,0,0,0,0,0,0,0,0,0,0,0,1
Greer,0,0,0,0,0,0,0,0,0,2,2,5
Harmon,0,0,0,0,0,0,0,0,0,0,0,0
Harper,0,0,0,0,0,0,0,0,0,0,0,0
Haskell,0,0,0,0,0,0,0,0,0,0,0,0
Hughes,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,1,1,1,1,1,1,1,1,1,2,2,4
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0
Johnston,0,0,0,0,0,0,0,0,0,0,0,0
Kay,5,5,5,11,17,18,20,20,24,24,24,25
Kingfisher,0,0,0,0,0,0,0,0,0,0,2,3
Kiowa,0,0,0,0,0,0,0,0,0,0,1,1
Latimer,0,0,0,0,1,1,1,1,1,2,2,2
Le Flore,0,0,0,0,0,1,1,1,1,1,1,1
Lincoln,0,0,0,1,3,3,3,4,5,5,6,7
Logan,1,1,3,3,3,3,3,4,4,4,5,5
Love,0,0,0,0,0,0,0,1,1,1,2,2
McClain,1,1,1,2,2,2,2,2,3,9,11,10
McCurtain,0,0,0,0,0,0,0,0,0,0,0,1
McIntosh,0,0,0,0,0,0,0,0,0,0,0,0
Major,0,0,0,0,0,0,0,0,0,0,0,1
Marshall,0,0,0,0,0,0,0,0,0,0,0,0
Mayes,0,1,1,2,2,3,3,4,4,5,5,5
Murray,0,0,0,0,0,0,0,0,0,0,0,0
Muskogee,1,1,1,4,5,7,7,7,8,13,15,16
Noble,1,2,2,2,3,3,3,3,4,5,5,5
Nowata,0,0,0,0,0,1,3,4,5,5,6,7
Okfuskee,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,29,41,55,73,94,107,120,134,155,192,216,237
Okmulgee,0,0,0,2,2,2,3,3,3,4,5,7
Osage,0,0,1,3,5,6,10,11,16,19,22,21
Ottawa,0,0,0,1,1,4,4,6,7,7,8,8
Pawnee,3,4,7,10,14,14,15,15,15,15,15,16
Payne,3,3,3,5,7,12,13,14,15,16,18,18
Pittsburg,0,0,0,0,2,2,2,2,2,2,2,2
Pontotoc,1,1,1,1,2,3,3,3,5,5,5,7
Pottawatomie,0,0,1,2,2,2,2,2,5,6,9,11
Pushmataha,0,0,0,0,0,0,0,0,0,0,0,0
Roger Mills,0,0,0,0,0,0,0,0,0,0,0,0
Rogers,0,0,0,0,0,0,1,1,3,4,8,10
Seminole,0,0,0,0,0,0,1,1,1,1,1,1
Sequoyah,0,0,0,1,1,2,2,2,2,2,4,4
Stephens,0,0,1,1,1,2,2,2,5,6,7,8
Texas,0,0,0,0,0,0,1,1,1,1,1,1
Tillman,0,0,0,0,0,0,0,0,0,0,0,0
Tulsa,11,12,27,41,49,57,61,65,83,115,151,175
Wagoner,0,0,3,6,8,8,8,8,10,15,24,30
Washington,2,2,3,5,9,14,18,20,21,23,24,28
Washita,0,0,0,0,0,0,0,0,0,0,0,1
Woods,0,0,0,0,0,0,0,0,0,0,0,0
Woodward,0,0,0,0,0,0,0,0,0,0,1,1
Out of OK,0,0,0,0,0,0,0,0,2,2,2,2
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0
