County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Adair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfalfa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atoka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beaver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beckham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blaine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caddo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canadian,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Carter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherokee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choctaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cimarron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland,0,1,1,3,3,5,5,5,6,6,6,7,8,11,11
Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comanche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Creek,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Custer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garvin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greer,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3
Harmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haskell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hughes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kay,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Kingfisher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latimer,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Le Flore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Love,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McClain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McCurtain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McIntosh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Major,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayes,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Murray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muskogee,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2
Noble,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nowata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okfuskee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,0,0,2,2,2,3,4,4,7,10,10,10,10,10,11
Okmulgee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osage,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3
Ottawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pawnee,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Payne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pittsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pontotoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pottawatomie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pushmataha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roger Mills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rogers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminole,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Sequoyah,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Stephens,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tillman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tulsa,1,1,1,1,1,3,3,3,3,3,5,8,8,8,8
Wagoner,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2
Washington,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Washita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woodward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
