County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Baker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Clackamas,0,1,2,2,2,2,2,3,3,3,3,3,3,3,3
Clatsop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deschutes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilliam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hood River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josephine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klamath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lane,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linn,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Malheur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion,1,1,2,2,3,3,3,3,3,3,4,4,4,5,5
Morrow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multnomah,1,2,2,2,2,2,2,2,2,3,3,3,3,7,7
Polk,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Sherman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tillamook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Umatilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wasco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1,2,2,3,3,3,3,3,3,3,4,4,4,4,4
Wheeler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yamhill,0,0,0,0,0,1,1,2,3,3,3,3,3,3,3
Out of OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
