County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Adams,6,6,6,7,8,8,8,8,9,12,18,19
Allegheny,48,58,88,133,158,219,265,290,325,356,419,476
Armstrong,0,1,1,1,1,2,3,3,5,5,7,11
Beaver,3,3,7,13,14,22,28,44,52,54,55,65
Bedford,0,0,0,0,0,0,0,0,2,3,3,3
Berks,14,16,20,36,65,65,68,82,110,151,168,201
Blair,0,0,0,1,1,2,3,6,4,4,4,4
Bradford,0,1,1,2,2,3,3,3,7,8,8,9
Bucks,43,69,86,110,144,152,216,249,288,319,373,450
Butler,5,6,12,19,26,41,47,49,60,64,69,75
Cambria,1,1,1,1,1,1,1,2,2,3,4,4
Cameron,0,0,0,0,0,1,1,1,1,1,1,1
Carbon,0,1,1,2,2,3,9,13,17,23,26,34
Centre,3,7,8,9,11,15,22,24,26,27,28,32
Chester,40,40,54,84,107,116,137,146,159,183,210,226
Clarion,0,0,0,0,0,1,1,1,3,4,4,4
Clearfield,0,1,2,2,2,2,2,4,4,4,4,5
Clinton,0,0,0,0,0,0,0,0,0,0,0,1
Columbia,1,1,1,3,3,4,6,6,7,8,11,15
Crawford,0,0,0,1,1,2,3,4,4,5,5,5
Cumberland,12,13,13,15,16,22,22,24,36,38,41,45
Dauphin,1,4,10,13,18,23,35,36,45,59,67,79
Delaware,54,84,101,156,185,226,276,303,338,390,470,542
Elk,0,0,0,0,0,0,0,0,0,0,0,0
Erie,3,5,5,5,7,7,7,13,14,15,17,17
Fayette,1,2,4,8,9,10,10,11,14,14,15,20
Forest,0,0,0,0,0,0,0,0,0,0,1,1
Franklin,1,3,5,5,5,7,11,12,19,21,23,26
Fulton,0,0,0,0,0,0,0,0,0,0,0,0
Greene,0,0,2,3,4,6,6,7,9,9,11,11
Huntingdon,0,0,0,0,0,1,1,1,1,1,2,3
Indiana,0,0,0,1,2,2,2,2,6,6,6,7
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0
Juniata,0,1,1,1,1,1,1,3,3,2,2,5
Lackawanna,7,15,18,28,35,51,56,62,78,85,108,119
Lancaster,5,10,12,21,33,45,67,97,123,157,203,232
Lawrence,0,0,1,1,4,8,8,10,13,13,16,19
Lebanon,3,3,3,4,12,15,19,27,28,36,45,54
Lehigh,25,27,38,63,93,109,151,231,272,374,479,584
Luzerne,10,21,27,36,55,65,94,150,212,282,384,484
Lycoming,0,0,1,1,2,2,3,4,6,7,7,8
McKean,0,0,0,0,0,1,1,1,1,1,1,1
Mercer,1,2,2,3,4,6,7,7,8,8,9,10
Mifflin,0,0,0,0,0,0,2,1,2,1,1,2
Monroe,43,45,51,67,98,106,135,182,236,278,321,397
Montgomery,136,159,219,313,374,411,488,540,570,649,735,875
Montour,1,3,4,4,4,5,4,10,9,13,15,16
Northampton,23,33,44,56,79,94,126,184,245,312,378,466
Northumberland,0,0,0,0,0,1,1,1,1,6,8,8
Perry,0,0,0,0,0,1,1,1,1,1,3,4
Philadelphia,175,252,342,475,637,803,890,1072,1315,1675,2100,2430
Pike,3,4,8,15,23,27,33,39,48,57,68,83
Potter,1,1,1,1,1,2,2,2,2,2,2,2
Schuylkill,3,5,7,9,13,16,21,30,38,47,54,63
Snyder,0,0,0,0,0,1,2,2,2,3,3,4
Somerset,0,1,2,2,2,2,2,2,2,3,3,3
Sullivan,0,0,0,0,0,0,0,0,0,0,0,0
Susquehanna,0,0,0,1,1,1,1,1,1,2,3,4
Tioga,0,0,0,0,0,1,1,1,2,2,2,3
Union,0,0,0,0,1,0,0,4,4,2,2,3
Venango,0,0,0,0,0,0,1,1,3,3,3,3
Warren,0,0,1,1,1,1,1,1,1,1,1,1
Washington,7,9,10,12,14,23,24,26,33,35,38,40
Wayne,3,4,4,6,6,6,7,10,10,14,17,23
Westmoreland,6,11,16,24,30,41,47,55,61,72,84,110
Wyoming,0,0,0,0,0,0,0,0,0,0,1,2
York,10,18,20,21,30,37,43,54,66,79,102,121
Out of PA,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0
