County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Abbeville,1,1,3,3,4,3,3,3,4,4,6,6
Aiken,1,2,2,2,6,7,9,9,13,18,22,22
Allendale,0,0,0,0,0,0,0,0,0,1,1,1
Anderson,15,16,19,19,21,24,29,31,39,47,57,62
Bamberg,0,0,0,0,0,0,0,0,2,4,5,5
Barnwell,0,0,0,0,0,0,0,1,1,2,2,2
Beaufort,21,22,26,26,35,39,50,74,91,101,130,131
Berkeley,4,4,5,5,10,13,14,14,15,18,33,42
Calhoun,1,1,1,1,1,1,2,2,3,3,3,3
Charleston,31,36,52,52,92,108,117,123,142,190,231,247
Cherokee,0,0,0,0,0,0,0,0,0,0,1,1
Chester,1,1,1,1,1,2,2,2,2,3,6,7
Chesterfield,0,1,3,3,4,4,4,6,6,9,10,10
Clarendon,4,5,5,5,6,7,16,18,25,28,31,34
Colleton,1,1,1,1,2,4,4,5,5,5,6,6
Darlington,7,8,8,8,8,8,10,11,11,11,15,15
Dillon,1,1,1,1,1,1,1,1,1,1,1,1
Dorchester,2,3,4,4,9,10,10,12,17,27,35,36
Edgefield,1,1,1,1,1,1,2,2,2,4,4,5
Fairfield,2,2,3,3,4,4,4,5,6,7,8,8
Florence,3,5,5,5,11,12,14,15,19,21,26,29
Georgetown,2,2,2,2,3,6,10,11,13,14,15,16
Greenville,31,39,50,50,51,57,71,88,106,129,154,174
Greenwood,2,2,2,2,2,3,3,3,5,6,8,9
Hampton,0,0,0,0,0,0,0,0,0,0,1,1
Horry,16,19,20,20,24,28,31,32,37,42,50,51
Jasper,1,2,2,2,3,3,3,3,3,4,7,8
Kershaw,54,58,63,63,70,77,83,99,105,116,129,136
Lancaster,7,7,6,6,8,9,13,14,15,17,26,31
Laurens,0,0,0,0,0,2,3,3,3,4,4,6
Lee,2,2,2,2,2,5,5,5,5,5,8,13
Lexington,17,19,18,18,25,30,35,41,54,61,70,78
McCormick,0,0,0,0,0,0,0,0,0,0,1,1
Marion,0,0,1,1,1,1,1,2,2,2,2,2
Marlboro,0,1,1,1,1,1,2,2,2,2,3,3
Newberry,1,1,1,1,1,2,2,2,2,2,4,5
Oconee,2,2,2,2,3,3,4,4,5,5,5,5
Orangeburg,8,8,9,9,12,14,16,21,22,24,24,25
Pickens,1,1,6,6,7,10,11,13,14,14,15,17
Richland,43,45,59,59,65,81,95,135,148,176,200,224
Saluda,1,1,1,1,1,1,1,1,1,1,2,2
Spartanburg,3,4,9,9,16,21,25,30,37,45,50,60
Sumter,4,8,10,10,10,24,30,34,39,48,66,75
Union,0,0,1,1,1,1,1,3,3,3,5,6
Williamsburg,0,0,1,1,1,2,2,2,2,3,6,6
York,7,11,18,18,19,31,36,43,56,66,66,73
Out of SC,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0
