County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Abbeville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aiken,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Allendale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson,0,0,0,0,0,0,0,1,1,2,3,3,3,3,4
Bamberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beaufort,0,0,0,0,0,0,0,1,1,2,2,2,3,4,4
Berkeley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Charleston,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
Cherokee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chesterfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarendon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Colleton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darlington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dillon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dorchester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgefield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fairfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florence,1,1,2,2,3,3,3,3,3,3,5,5,5,5,5
Georgetown,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Greenville,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2
Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horry,0,0,1,1,1,2,3,3,3,3,4,4,4,5,6
Jasper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kershaw,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
Lancaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laurens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2
Lexington,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3
McCormick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Marlboro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oconee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orangeburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pickens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richland,0,0,0,0,1,2,2,2,2,3,3,5,6,6,7
Saluda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spartanburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sumter,0,0,0,2,2,2,2,2,2,2,3,3,3,3,3
Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Williamsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2
Out of SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
