County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Aurora,0,0,0,0,1,1,1,1,1,1,1,1
Beadle,12,13,13,14,16,16,20,20,20,21,21,21
Bennett,0,0,0,0,0,0,0,0,0,0,0,0
Bon Homme,1,1,1,1,1,1,1,1,1,1,1,1
Brookings,0,1,1,1,1,1,1,1,1,2,2,2
Brown,1,1,2,2,2,2,2,3,3,4,6,7
Brule,0,0,0,0,0,0,0,0,0,0,0,0
Buffalo,0,0,0,0,0,0,0,0,0,0,0,0
Butte,0,0,0,0,0,0,0,1,0,0,0,0
Campbell,0,0,0,0,0,0,0,0,0,0,0,0
Charles Mix,1,1,1,1,1,1,1,1,1,1,1,1
Clark,0,0,0,0,0,0,1,1,1,1,1,1
Clay,0,0,0,0,0,0,2,3,3,3,3,3
Codington,1,1,1,1,1,2,4,5,5,5,6,8
Corson,0,0,0,0,0,0,0,0,0,0,0,0
Custer,0,0,0,0,0,0,0,0,0,0,0,0
Davison,2,2,2,2,2,2,2,2,2,2,3,3
Day,0,0,0,0,0,0,0,0,0,0,0,0
Deuel,0,0,0,0,0,1,1,1,1,1,1,1
Dewey,0,0,0,0,0,0,0,0,0,0,0,0
Douglas,0,0,0,0,0,0,0,0,0,0,0,0
Edmunds,0,0,0,0,0,0,0,0,0,0,0,0
Fall River,0,0,0,0,0,0,1,1,1,1,1,1
Faulk,0,0,0,0,1,1,1,1,1,1,1,1
Grant,0,0,0,0,0,0,0,0,0,0,0,0
Gregory,0,0,0,0,0,0,0,0,0,0,0,0
Haakon,0,0,0,0,0,0,0,0,0,0,0,0
Hamlin,0,0,0,0,0,1,1,1,1,1,1,1
Hand,0,0,0,0,0,0,0,0,0,0,0,0
Hanson,0,0,0,0,0,0,0,0,0,0,0,0
Harding,0,0,0,0,0,0,0,0,0,0,0,0
Hughes,1,1,1,1,1,1,1,1,1,2,3,3
Hutchinson,0,0,0,0,0,2,2,2,2,2,2,2
Hyde,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,0,0,0,0,0,0,0,0,0,0,0,0
Jerauld,0,0,0,0,0,0,0,0,0,0,0,0
Jones,0,0,0,0,0,0,0,0,0,0,0,0
Kingsbury,0,0,0,0,0,0,0,0,1,0,0,0
Lake,0,0,0,0,0,0,0,0,0,0,1,1
Lawrence,0,0,0,0,2,2,3,5,6,6,9,9
Lincoln,0,0,1,2,2,3,4,4,5,11,17,19
Lyman,1,1,1,1,1,1,1,1,1,1,1,1
McCook,2,2,2,2,2,2,2,2,2,2,2,2
McPherson,0,0,0,0,0,0,0,0,0,0,0,0
Marshall,0,0,0,0,0,0,0,1,1,1,1,1
Meade,0,0,1,1,1,1,1,1,1,1,1,1
Mellette,0,0,0,0,0,0,0,0,0,0,0,0
Miner,0,0,0,0,0,0,0,0,0,0,0,0
Minnehaha,5,5,13,16,18,21,25,28,31,40,54,68
Moody,0,0,0,0,0,0,0,0,0,0,0,0
Oglala Lakota,0,0,0,0,0,0,0,0,0,0,0,0
Pennington,1,1,1,1,3,3,4,5,5,5,6,6
Perkins,0,0,0,0,0,0,0,0,0,0,0,0
Potter,0,0,0,0,0,0,0,0,0,0,0,0
Roberts,0,0,0,0,0,0,1,1,1,2,2,3
Sanborn,0,0,0,0,0,0,0,0,0,0,0,0
Spink,0,0,0,0,0,0,0,0,0,0,1,1
Stanley,0,0,0,0,0,0,0,0,0,0,0,0
Sully,0,0,0,0,0,0,0,0,0,0,0,0
Todd,0,0,0,0,1,1,1,1,1,1,1,1
Tripp,0,0,0,0,0,0,0,0,0,0,0,0
Turner,0,0,0,0,0,0,1,1,1,1,2,3
Union,0,0,0,0,1,1,1,1,1,1,3,3
Walworth,0,0,0,0,0,0,0,0,0,0,0,0
Yankton,0,0,0,0,0,1,4,4,6,8,10,11
Ziebach,0,0,0,0,0,0,0,0,0,0,0,0
Out of SD,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0
