County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Anderson,1,1,3,3,4,5,6,6,10,10,10,10
Bedford,0,0,1,1,1,1,1,1,2,4,6,6
Benton,0,0,0,1,2,3,3,3,4,4,4,4
Bledsoe,0,0,0,0,0,2,2,2,2,2,2,2
Blount,2,3,3,4,6,9,9,9,25,28,32,33
Bradley,1,2,3,5,6,5,8,8,10,14,18,21
Campbell,2,2,2,2,4,4,4,4,4,4,4,4
Cannon,0,0,0,1,2,3,2,3,3,3,4,4
Carroll,2,3,3,3,4,4,5,5,5,5,5,6
Carter,0,0,0,0,0,1,1,1,1,1,1,3
Cheatham,4,5,7,7,7,7,8,8,10,11,11,11
Chester,1,1,1,2,2,2,2,2,3,3,3,5
Claiborne,1,1,1,2,2,2,2,2,2,2,2,2
Clay,0,0,0,0,0,0,0,0,0,1,1,1
Cocke,1,1,1,1,1,1,1,1,1,1,1,1
Coffee,0,0,0,0,0,0,1,1,1,1,3,3
Crockett,0,0,0,0,0,0,0,0,0,0,0,0
Cumberland,2,3,3,6,6,6,9,9,11,14,16,22
Davidson,164,253,257,293,312,376,394,443,541,673,617,685
Decatur,0,0,0,0,0,1,1,1,0,0,0,0
DeKalb,0,0,0,0,0,3,3,3,4,5,5,5
Dickson,5,5,5,7,9,11,11,11,17,18,20,21
Dyer,2,2,2,3,3,3,3,3,3,3,5,5
Fayette,2,2,3,3,3,4,10,10,12,14,14,17
Fentress,0,0,0,0,0,0,0,0,1,1,1,1
Franklin,1,1,1,2,3,3,6,6,5,7,8,12
Gibson,1,2,2,2,2,2,3,3,6,6,6,7
Giles,0,0,0,0,0,0,0,1,3,3,3,3
Grainger,0,0,0,0,0,0,0,0,0,3,3,3
Greene,4,5,7,8,8,8,9,9,12,15,16,16
Grundy,0,1,1,1,1,2,2,2,4,6,8,11
Hamblen,3,2,2,2,2,2,2,2,2,3,3,3
Hamilton,12,8,26,30,30,35,35,35,50,50,61,67
Hancock,0,0,0,0,0,0,0,0,0,0,0,0
Hardeman,0,0,0,0,0,1,1,1,1,4,4,5
Hardin,1,1,1,1,1,1,1,1,1,2,2,2
Hawkins,0,0,1,1,2,2,2,2,4,5,7,8
Haywood,0,0,0,0,0,0,2,2,2,2,2,2
Henderson,0,0,0,0,0,0,0,0,0,0,0,0
Henry,0,0,0,0,0,0,1,1,1,1,4,4
Hickman,0,0,0,0,0,0,0,0,0,1,1,1
Houston,1,1,3,3,2,2,2,2,1,1,1,1
Humphreys,0,0,0,0,0,0,0,0,2,2,2,3
Jackson,0,0,0,0,0,0,0,0,0,0,0,3
Jefferson,3,4,4,4,5,5,5,5,6,6,6,6
Johnson,0,0,0,0,0,0,2,2,2,2,2,2
Knox,12,15,20,26,31,33,38,57,66,78,92,98
Lake,0,0,0,0,0,0,0,0,0,0,0,0
Lauderdale,0,0,0,0,0,0,0,0,0,1,2,2
Lawrence,0,0,0,0,0,0,0,0,2,2,2,3
Lewis,0,0,1,2,2,2,2,2,2,2,2,2
