County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bedford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bledsoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bradley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campbell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cannon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheatham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claiborne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crockett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumberland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davidson,2,2,2,2,2,2,2,3,3,4,5,6,6,6,7
Decatur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeKalb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dickson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fentress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Gibson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grainger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greene,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Grundy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamblen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton,0,0,1,1,1,1,1,1,3,3,5,5,8,8,9
Hancock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardeman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawkins,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Haywood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hickman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Houston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humphreys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knox,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3
Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lauderdale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawrence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loudon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McMinn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McNairy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Moore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obion,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Overton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pickett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Putnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robertson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rutherford,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3
Scott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sequatchie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sevier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shelby,0,0,0,0,0,0,1,1,1,1,7,7,8,11,13
Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stewart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sullivan,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Sumner,0,0,0,0,0,0,0,4,4,4,11,8,10,10,15
Tipton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trousdale,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Unicoi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Van Buren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
Wayne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weakley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Williamson,0,0,0,0,0,0,0,0,0,0,2,3,3,3,2
Wilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of TN,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Unassigned,0,0,0,0,3,4,4,4,11,11,0,0,0,0,0
