County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Anderson,0,0,0,0,0,0,0,0,1,1,1,1
Andrews,0,0,0,0,0,1,0,0,0,0,0,1
Angelina,0,0,0,1,2,1,3,3,5,5,5,8
Aransas,0,0,0,0,0,0,0,2,0,0,0,0
Archer,0,0,0,0,0,0,0,0,0,0,0,0
Armstrong,0,0,0,0,0,0,0,0,0,0,0,0
Atascosa,2,2,2,2,2,2,2,2,2,2,2,2
Austin,0,0,0,1,1,1,2,2,2,2,4,4
Bailey,0,0,0,0,0,0,0,0,0,0,0,0
Bandera,0,0,0,0,0,0,0,0,0,0,0,0
Bastrop,0,1,1,2,2,4,5,6,6,8,10,10
Baylor,0,0,0,0,0,0,0,0,0,0,0,0
Bee,0,0,0,0,0,0,0,0,0,0,0,0
Bell,16,18,19,20,25,28,28,36,44,46,51,51
Bexar,57,69,69,84,113,125,140,157,168,207,229,254
Blanco,1,1,1,1,1,1,1,1,1,1,1,1
Borden,0,0,0,0,0,0,0,0,0,0,0,0
Bosque,0,0,0,0,0,0,0,0,0,0,0,0
Bowie,1,1,1,1,2,3,3,4,9,9,9,10
Brazoria,16,28,28,39,39,61,61,68,95,95,109,123
Brazos,12,16,21,28,31,40,44,46,53,63,68,72
Brewster,0,0,0,0,0,0,0,0,0,0,0,0
Briscoe,0,0,0,0,0,0,0,0,0,0,0,0
Brooks,0,0,0,0,0,0,0,0,0,0,0,0
Brown,2,2,2,3,3,3,3,3,3,3,3,4
Burleson,0,0,0,0,0,1,1,1,1,1,1,1
Burnet,1,1,1,1,1,1,2,3,3,3,4,4
Caldwell,0,0,0,0,0,1,1,1,1,1,1,2
Calhoun,0,0,2,2,3,3,5,6,7,7,8,8
Callahan,0,0,0,0,0,0,0,0,0,0,0,0
Cameron,6,6,7,10,13,13,20,20,26,26,37,55
Camp,0,0,0,0,0,0,0,0,0,1,1,1
Carson,0,0,0,0,0,0,0,0,0,0,0,0
Cass,0,0,1,1,1,2,2,2,2,3,4,4
Castro,2,2,5,6,7,8,8,8,8,8,8,9
Chambers,1,1,1,2,2,3,3,5,8,9,9,11
Cherokee,0,0,0,0,1,1,1,1,2,5,5,6
Childress,0,0,0,0,0,0,0,0,0,0,0,0
Clay,0,0,0,0,0,0,0,0,0,1,1,1
Cochran,0,0,0,0,0,0,0,0,0,0,0,0
Coke,0,0,0,0,0,0,0,0,0,0,0,0
Coleman,0,0,0,0,0,0,0,0,0,0,0,0
Collin,38,45,53,66,87,118,134,134,160,184,207,227
Collingsworth,0,0,0,0,0,0,0,0,0,0,0,0
