County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Beaver,0,0,0,0,0,0,1,0,0,0,0,0
Box Elder,1,1,0,0,0,4,5,13,7,7,7,10
Cache,3,3,0,0,0,5,5,0,7,7,7,15
Carbon,0,0,0,0,0,0,0,0,0,0,0,1
Daggett,0,0,0,0,0,0,0,0,0,0,0,0
Davis,29,31,35,39,50,59,69,77,84,84,103,122
Duchesne,0,0,0,0,0,0,0,0,0,0,1,1
Emery,0,0,0,0,0,0,0,0,0,0,0,1
Garfield,0,0,0,0,0,0,1,0,1,1,1,1
Grand,0,0,0,0,0,0,4,0,1,1,1,1
Iron,0,0,0,0,0,0,2,0,6,6,7,10
Juab,0,0,0,0,0,0,0,0,0,0,0,0
Kane,0,0,0,0,0,0,0,0,0,0,1,1
Millard,0,0,0,0,0,0,0,0,0,0,0,0
Morgan,0,0,0,0,0,0,0,0,0,0,0,0
Piute,0,0,0,0,0,0,0,0,0,0,0,0
Rich,0,0,0,0,0,0,0,0,0,0,0,0
Salt Lake,109,124,151,178,218,276,321,360,396,396,476,541
San Juan,0,0,0,0,0,1,4,4,4,4,11,12
Sanpete,0,0,0,0,0,0,0,0,0,0,0,0
Sevier,0,0,0,0,0,0,0,0,0,0,0,0
Summit,65,82,89,95,102,127,151,167,172,172,204,222
Tooele,2,2,3,4,5,8,9,9,12,12,13,16
Uintah,0,0,0,0,0,0,0,0,1,1,1,1
Utah,11,13,18,24,26,30,50,57,70,70,105,150
Wasatch,11,15,15,20,28,36,39,44,50,50,61,69
Washington,5,5,5,8,9,13,8,15,14,14,18,21
Wayne,0,0,0,0,0,0,0,0,0,0,0,0
Weber,8,9,10,14,20,29,37,39,41,41,53,58
Out of UT,13,13,14,14,14,14,14,19,22,22,22,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0
