County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Beaver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Box Elder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daggett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davis,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
Duchesne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salt Lake,0,0,0,0,0,0,0,2,2,2,4,4,4,4,7
San Juan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sanpete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sevier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tooele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uintah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Wasatch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Wayne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weber,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Out of UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
