County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Addison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bennington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chittenden,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Essex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Isle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamoille,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orleans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rutland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Windham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Windsor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Out of VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,3,2,3,4,5,7,7,7,8,11,12,12,15,17,18
