County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Accomack,1,1,2,2,2,2,3,6,7,7,10,8
Albemarle,2,2,4,6,8,16,17,19,21,21,23,26
Alleghany,0,0,0,0,0,0,0,1,1,1,2,2
Amelia,0,0,0,1,1,1,1,1,2,2,4,5
Amherst,1,1,1,1,1,2,2,3,3,5,6,6
Appomattox,0,0,0,0,0,0,0,0,0,0,0,0
Arlington,34,36,46,54,63,75,84,86,104,119,128,135
Augusta,0,0,0,0,0,0,0,0,0,1,2,4
Bath,0,0,0,0,0,0,0,0,0,0,0,0
Bedford,1,1,3,3,3,3,3,2,2,3,3,3
Bland,0,0,0,0,0,0,0,0,0,0,0,0
Botetourt,1,1,1,1,1,1,2,5,5,6,8,8
Brunswick,0,0,0,0,0,0,0,0,1,1,1,1
Buchanan,0,0,0,0,0,0,0,0,0,0,0,0
Buckingham,0,0,0,0,0,0,0,0,2,2,2,3
Campbell,0,0,0,0,0,0,0,0,1,2,2,2
Caroline,0,0,0,0,0,0,0,0,0,0,0,1
Carroll,0,0,0,0,0,0,0,0,1,1,1,1
Charles City,1,1,1,1,1,1,1,1,1,2,4,4
Charlotte,0,0,0,0,0,0,0,0,0,0,0,0
Chesterfield,9,10,11,12,12,12,12,21,43,59,73,89
Clarke,0,0,0,0,0,0,0,0,0,0,1,2
Craig,0,0,0,0,0,0,0,0,0,0,0,0
Culpeper,2,2,2,2,2,2,2,3,3,5,6,7
Cumberland,0,0,0,0,0,0,0,0,0,0,1,1
Dickenson,0,0,0,0,0,0,0,0,0,0,0,0
Dinwiddie,0,0,0,0,0,0,0,0,0,0,0,0
Essex,0,0,0,0,0,0,0,0,0,0,0,0
Fairfax,43,46,76,79,124,156,188,224,244,288,328,372
Fauquier,0,0,0,1,4,6,6,6,7,7,8,9
Floyd,0,0,0,0,0,0,0,0,0,0,0,0
Fluvanna,1,1,1,3,3,3,3,3,3,3,4,5
Franklin,1,1,1,1,1,1,5,5,5,5,6,9
Frederick,0,0,2,2,4,4,8,10,12,15,16,20
Giles,0,0,0,0,0,0,0,0,0,0,0,0
Gloucester,2,2,2,2,3,6,6,7,7,8,8,8
Goochland,2,3,3,3,3,5,6,6,7,7,9,8
Grayson,0,0,0,0,0,0,0,0,0,0,0,0
Greene,0,0,0,0,1,1,1,1,1,1,1,1
Greensville,0,0,0,0,0,0,1,3,3,3,3,4
Halifax,0,1,1,1,1,1,1,1,1,1,1,1
Hanover,2,1,2,2,2,3,4,5,6,6,8,12
Henrico,11,14,20,21,28,31,40,44,62,78,87,112
Henry,0,0,0,0,0,0,0,1,1,2,2,3
Highland,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Wight,1,2,2,2,2,3,3,3,4,5,8,11
James City,34,37,41,49,55,65,70,73,89,95,97,104
King and Queen,0,0,0,0,0,0,0,0,1,1,1,1
King George,0,0,0,0,1,2,2,3,3,4,4,6
King William,0,0,0,0,0,0,0,1,1,1,1,1
Lancaster,0,0,0,0,0,1,1,1,1,1,1,1
Lee,2,2,2,2,2,2,2,2,2,2,2,2
Loudoun,15,18,20,28,43,54,61,61,87,105,121,130
Louisa,2,2,3,4,5,6,6,8,9,12,12,12
Lunenburg,0,0,0,0,0,0,0,0,0,0,0,0
Madison,0,1,1,1,2,3,3,3,3,3,3,2
Mathews,0,0,1,1,1,2,4,2,2,2,2,2
Mecklenburg,1,2,3,3,4,4,4,4,4,4,5,7
Middlesex,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery,0,0,0,0,1,1,1,1,1,1,1,1
Nelson,0,1,1,1,1,2,2,2,2,2,2,2
New Kent,0,0,0,0,0,1,1,1,1,1,3,6
Northampton,0,0,0,0,1,1,1,1,1,1,1,2
Northumberland,0,0,0,0,2,2,2,2,3,3,3,3
Nottoway,0,0,1,1,1,1,1,1,1,1,1,1
Orange,0,1,1,1,1,1,1,1,2,4,4,4
Page,0,0,0,0,0,0,0,0,1,1,1,2
Patrick,0,0,0,0,0,0,0,0,0,0,0,0
Pittsylvania,0,0,0,1,1,1,1,1,1,1,1,1
Powhatan,0,0,0,0,0,1,1,3,4,3,3,4
Prince Edward,1,1,2,2,2,2,2,2,2,2,2,2
Prince George,0,0,0,0,2,2,4,5,7,8,8,10
Prince William,18,23,32,36,44,56,72,79,94,106,117,131
Pulaski,0,0,0,0,0,0,0,0,0,0,0,1
Rappahannock,0,0,0,0,0,0,0,0,0,0,0,0
Richmond,0,0,0,0,0,0,0,0,0,0,0,1
Roanoke,0,0,1,1,1,2,2,2,3,4,4,9
Rockbridge,1,1,2,2,2,2,2,2,2,2,2,2
Rockingham,2,3,3,3,4,4,4,5,5,9,11,11
Russell,0,0,0,0,0,0,0,0,0,0,0,0
Scott,0,0,0,0,0,0,0,0,0,0,0,0
Shenandoah,0,0,3,3,3,3,4,6,7,8,9,10
Smyth,0,0,0,0,0,0,0,1,1,2,2,2
Southampton,0,0,0,0,1,1,1,1,1,1,2,4
Spotsylvania,2,2,3,3,3,3,3,6,7,8,9,11
Stafford,6,6,6,11,11,11,11,20,24,28,27,29
Surry,0,0,0,0,0,0,0,0,1,1,1,3
Sussex,0,0,0,0,0,0,0,0,0,1,1,2
Tazewell,0,0,0,0,0,0,1,2,2,2,2,2
Warren,0,0,0,1,2,2,2,2,3,3,3,4
Washington,0,0,0,1,1,1,2,2,2,2,2,3
Westmoreland,0,0,0,0,0,0,0,0,0,0,0,1
Wise,0,0,0,0,0,0,0,0,0,0,0,1
Wythe,0,0,0,0,0,0,1,1,1,2,2,2
York,5,6,8,9,9,9,9,11,14,16,17,17
Alexandria,6,8,9,14,18,20,25,26,30,32,33,56
Bristol,0,0,0,0,1,1,1,1,1,1,1,1
Buena Vista,0,0,0,0,0,0,0,0,0,0,0,1
Charlottesville,4,5,6,9,11,12,12,13,14,16,17,17
Chesapeake,0,1,3,4,5,7,17,18,23,31,39,50
Colonial Heights,0,0,0,0,0,0,0,0,0,0,0,0
Covington,0,0,0,0,0,0,0,0,0,1,1,1
Danville,1,1,2,2,4,4,5,4,4,4,7,9
Emporia,0,0,0,0,0,0,0,0,0,0,0,1
Fairfax City,0,0,1,1,0,0,0,1,1,0,0,0
Falls Church,0,0,0,0,0,0,0,0,0,0,0,0
Franklin City,0,0,0,0,0,0,0,0,1,1,1,3
Fredericksburg,0,0,1,1,1,1,1,1,1,1,2,4
Galax,0,0,0,0,1,1,1,1,1,1,1,1
Hampton,0,0,0,1,5,7,7,9,13,14,16,29
Harrisonburg,1,1,2,3,5,5,5,6,6,10,15,22
Hopewell,0,0,0,0,0,1,1,3,4,4,5,7
Lexington,0,0,0,0,0,0,0,0,0,0,0,2
Lynchburg,0,0,2,2,2,2,3,4,5,7,9,9
Manassas,0,0,0,0,0,4,5,7,8,9,12,13
Manassas Park,0,0,0,0,0,0,1,1,1,1,1,2
Martinsville,0,0,0,0,0,0,0,0,0,0,0,0
Newport News,2,3,4,8,12,13,17,18,23,29,33,37
Norfolk,5,8,8,9,8,10,14,17,27,33,37,43
Norton,0,0,0,0,0,0,0,0,0,0,0,0
Petersburg,0,0,0,0,0,0,0,2,2,4,4,8
Poquoson,0,0,0,1,1,2,2,2,2,3,3,3
Portsmouth,0,0,0,0,3,4,4,4,12,13,16,17
Radford,0,0,1,1,1,1,1,1,1,1,1,1
Richmond City,8,11,13,14,17,20,25,25,26,33,52,76
Roanoke City,0,0,0,0,1,0,2,6,6,6,9,4
Salem,0,0,0,0,0,0,0,0,0,0,1,1
Staunton,0,0,0,0,0,0,0,0,0,0,1,0
Suffolk,1,1,1,1,1,1,1,3,4,5,6,10
Virginia Beach,17,17,23,26,29,35,49,52,65,88,111,128
Waynesboro,0,0,0,0,0,0,0,0,2,2,2,3
Williamsburg,5,5,5,5,5,6,7,7,8,9,9,9
Winchester,0,0,0,0,0,0,1,3,3,5,5,9
Out of VA,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0
