County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Adams,1,1,1,3,3,5,5,7,13,14,20,20
Asotin,0,0,0,0,0,0,0,0,0,0,0,0
Benton,9,9,12,19,42,42,56,102,89,108,130,136
Chelan,6,6,10,10,12,13,13,14,16,17,18,20
Clallam,4,4,4,5,5,5,5,6,8,8,8,8
Clark,13,13,16,48,76,82,90,90,116,130,131,137
Columbia,1,1,1,1,1,1,1,1,1,1,1,1
Cowlitz,3,3,3,7,7,10,10,14,14,14,18,18
Douglas,1,1,2,5,5,5,5,5,5,5,6,6
Ferry,0,0,0,1,1,1,1,1,1,1,1,1
Franklin,5,5,7,7,12,12,16,37,33,33,41,45
Garfield,0,0,0,0,0,0,0,0,0,0,0,0
Grant,23,23,27,33,39,44,50,59,63,63,73,75
Grays Harbor,1,1,1,1,1,1,1,1,2,2,2,2
Island,25,25,38,64,64,80,93,105,106,109,114,119
Jefferson,6,8,9,11,11,11,13,14,16,17,19,19
King,1170,1170,1359,1577,1577,2077,2159,2161,2330,2330,2656,2787
Kitsap,18,18,20,33,33,42,50,56,74,74,83,95
Kittitas,4,5,18,8,8,8,8,9,9,9,10,10
Klickitat,4,4,6,7,7,7,7,8,9,9,9,9
Lewis,2,2,2,5,5,7,7,10,10,10,10,12
Lincoln,1,1,1,1,1,1,1,1,1,1,1,1
Mason,1,1,2,2,2,2,2,2,5,6,11,13
Okanogan,0,0,0,1,1,3,3,3,3,3,3,4
Pacific,0,0,0,0,0,0,0,0,0,0,0,0
Pend Oreille,0,0,0,0,0,0,0,0,0,0,0,1
Pierce,126,138,155,186,231,231,317,317,377,377,498,571
San Juan,1,1,1,2,2,3,4,4,4,4,6,6
Skagit,33,45,48,78,78,91,99,101,121,128,143,153
Skamania,0,0,0,0,0,1,1,1,1,1,1,1
Snohomish,519,614,634,778,912,913,912,1068,1229,1304,1376,1376
Spokane,20,29,33,67,83,108,108,136,136,158,182,194
Stevens,1,1,1,2,2,3,3,3,4,4,5,5
Thurston,11,11,14,24,24,27,33,36,48,48,51,58
Wahkiakum,0,0,0,0,0,0,0,0,0,0,0,1
Walla Walla,1,1,2,2,2,4,5,6,6,7,8,8
Whatcom,48,48,64,86,92,102,116,116,139,139,175,182
Whitman,2,2,2,3,5,6,6,8,8,10,11,11
Yakima,16,25,47,61,66,82,140,147,161,161,224,240
Out of WA,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,145,112,51,69,67,0,125,274,274,303,344,501
