County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asotin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton,3,3,3,4,4,5,5,5,6,7,9,13,13,13,17
Chelan,0,0,1,1,1,1,1,1,2,2,2,3,3,3,3
Clallam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark,3,4,4,5,6,6,6,6,6,6,8,8,8,8,11
Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cowlitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
Garfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2
Grays Harbor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Island,1,1,1,1,1,1,1,1,3,3,3,4,4,4,5
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King,87,87,101,109,109,136,141,144,150,150,175,186,200,208,222
Kitsap,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kittitas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klickitat,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Lewis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okanogan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pend Oreille,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierce,1,1,2,4,5,5,6,6,6,6,7,7,8,10,12
San Juan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skagit,0,1,1,1,1,1,3,3,3,3,4,4,4,4,4
Skamania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snohomish,11,16,16,18,23,23,23,23,33,40,41,42,45,48,58
Spokane,0,0,0,0,0,2,2,4,4,5,5,7,10,11,12
Stevens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thurston,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Wahkiakum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walla Walla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whatcom,2,2,2,4,4,4,7,7,7,7,9,9,9,13,19
Whitman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yakima,0,0,1,2,2,2,2,3,3,3,6,6,7,9,12
Out of WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
