County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Barbour,0,0,0,0,0,0,0,0,0,1,1,1
Berkeley,0,0,2,2,4,9,10,14,16,21,27,37
Boone,0,0,0,0,0,0,0,0,0,0,0,0
Braxton,0,0,0,0,0,0,0,0,0,0,0,0
Brooke,0,0,0,0,0,0,0,0,0,0,0,0
Cabell,0,0,0,0,0,0,0,1,1,1,3,5
Calhoun,0,0,0,0,0,0,0,0,0,0,0,0
Clay,0,0,0,0,0,0,0,0,0,0,0,0
Doddridge,0,0,0,0,0,0,0,0,0,0,0,0
Fayette,0,0,0,0,0,0,0,0,0,0,0,0
Gilmer,0,0,0,0,0,0,0,0,0,0,0,0
Grant,0,0,0,0,0,0,0,0,0,0,0,0
Greenbrier,0,0,0,0,0,1,2,3,3,3,3,3
Hampshire,0,0,0,0,0,0,0,0,0,0,0,0
Hancock,0,0,0,1,0,1,3,3,3,6,5,5
Hardy,0,0,0,0,0,0,0,0,1,1,2,2
Harrison,0,2,3,3,4,4,5,10,11,14,17,17
Jackson,1,1,2,4,5,6,7,8,9,11,11,11
Jefferson,3,3,3,3,4,4,4,6,8,9,12,12
Kanawha,3,4,4,5,15,17,19,23,31,37,39,40
Lewis,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0
Logan,0,0,0,1,1,1,1,2,2,3,4,4
McDowell,0,0,0,0,0,0,0,0,0,0,0,0
Marion,0,0,0,1,2,3,5,5,5,8,10,11
Marshall,2,2,2,2,3,3,4,4,4,4,4,4
Mason,0,0,0,0,1,3,3,3,3,3,3,3
Mercer,2,2,2,2,2,2,2,2,2,2,3,3
Mineral,0,0,0,0,0,0,0,0,0,0,0,2
Mingo,0,0,0,0,0,0,0,0,0,0,0,0
Monongalia,2,5,16,18,24,23,29,31,31,32,35,35
Monroe,0,0,0,0,0,0,0,0,0,0,0,0
Morgan,0,0,0,0,0,0,0,1,1,1,1,1
Nicholas,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,0,0,0,2,1,6,6,9,10,11,10,11
Pendleton,0,0,0,0,0,0,0,0,0,0,0,1
Pleasants,0,0,0,0,0,1,1,1,1,1,1,1
Pocahontas,0,0,0,0,0,0,0,0,0,0,0,0
Preston,0,0,1,2,1,1,1,2,3,3,3,4
Putnam,1,1,1,2,2,3,3,4,4,5,5,5
Raleigh,0,0,0,1,2,3,3,3,3,3,3,3
Randolph,0,0,0,0,0,0,0,1,1,1,2,2
Ritchie,0,0,0,0,0,0,0,0,0,0,0,0
Roane,0,0,0,0,0,0,0,2,2,2,2,2
Summers,0,0,0,0,0,0,0,0,0,0,0,0
Taylor,0,0,0,0,0,0,0,0,0,0,0,0
Tucker,2,2,2,2,2,2,2,2,2,2,3,3
Tyler,0,0,0,0,0,0,0,0,0,0,0,0
Upshur,0,0,0,0,1,1,1,1,1,1,1,1
Wayne,0,0,0,0,0,0,0,0,0,0,0,0
Webster,0,0,0,0,0,0,0,0,0,0,0,0
Wetzel,0,0,0,0,0,0,0,1,1,2,2,2
Wirt,0,0,0,0,0,0,0,1,1,1,1,1
Wood,0,0,1,1,2,2,2,2,2,2,3,5
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0
Out of WV,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0
