County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Barbour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braxton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doddridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenbrier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hancock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jackson,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kanawha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McDowell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mineral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mingo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monongalia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicholas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pendleton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleasants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocahontas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Preston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Putnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raleigh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randolph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ritchie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tucker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upshur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wetzel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
