County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Adams,0,0,0,0,0,0,0,0,0,0,1,1
Ashland,0,0,0,0,0,0,0,0,1,1,1,1
Barron,0,0,0,0,0,0,0,0,0,0,0,1
Bayfield,1,1,1,1,2,2,2,2,2,3,3,3
Brown,3,3,3,4,5,6,6,7,9,11,17,24
Buffalo,0,0,0,0,0,0,0,0,1,1,2,2
Burnett,0,0,0,0,0,0,0,0,0,0,0,0
Calumet,1,1,1,1,1,1,1,1,1,2,3,3
Chippewa,1,1,1,1,3,4,4,7,8,10,11,14
Clark,0,0,1,1,2,3,3,3,3,5,6,6
Columbia,5,5,5,5,6,7,9,9,14,14,15,18
Crawford,0,0,0,0,0,0,0,0,0,1,1,1
Dane,70,72,88,134,158,172,183,192,214,215,238,252
Dodge,2,2,3,3,6,6,8,8,10,13,13,14
Door,0,0,0,0,0,0,0,0,1,1,2,2
Douglas,2,4,4,4,5,6,6,6,6,7,7,7
Dunn,1,1,1,1,2,2,3,3,3,3,3,5
Eau Claire,4,4,5,6,7,7,10,10,11,12,14,16
Florence,0,0,0,0,0,0,0,0,0,0,0,0
Fond du Lac,16,18,18,17,18,20,20,21,22,24,28,30
Forest,0,0,0,0,0,0,0,0,0,0,0,0
Grant,0,0,1,1,1,1,1,1,2,2,2,2
Green,1,1,1,1,3,4,4,5,6,7,7,8
Green Lake,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,0,1,3,3,3,3,3,3,3,3,3,3
Iron,0,0,0,0,1,1,1,1,1,1,1,1
Jackson,0,0,0,0,0,0,0,2,2,2,2,2
Jefferson,2,4,5,5,6,8,8,10,11,12,12,13
Juneau,0,0,0,1,2,2,3,3,3,4,4,4
Kenosha,12,13,14,19,23,24,29,30,37,54,67,81
Kewaunee,0,0,0,0,0,0,0,0,0,0,0,0
La Crosse,5,5,10,12,14,15,15,16,19,19,19,19
Lafayette,0,0,0,0,0,0,0,0,0,0,0,0
Langlade,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0
Manitowoc,0,0,0,0,0,0,0,0,0,0,0,0
Marathon,1,1,1,1,1,1,1,2,3,5,8,9
Marinette,0,0,0,0,1,1,1,1,1,2,2,2
Marquette,0,0,0,0,0,0,0,2,2,2,2,2
Menominee,0,0,0,0,0,0,0,0,0,0,1,1
Milwaukee,204,243,325,347,411,541,606,617,710,780,869,1023
Monroe,0,0,1,1,1,1,1,1,2,2,3,3
Oconto,0,0,0,0,0,0,0,0,1,1,1,1
Oneida,0,0,0,0,0,1,1,3,3,3,3,3
Outagamie,2,2,4,4,4,4,6,9,12,12,14,19
Ozaukee,14,16,20,22,30,33,34,36,43,46,47,50
Pepin,0,0,0,0,0,0,0,0,0,0,0,7
Pierce,3,3,3,3,4,4,4,6,7,7,7,7
Polk,0,0,0,0,0,0,0,0,0,0,0,0
Portage,0,0,0,1,1,1,1,1,1,1,2,3
Price,0,0,0,0,0,0,0,0,0,0,0,0
Racine,5,5,7,8,9,16,17,21,26,28,35,41
Richland,0,0,0,0,0,2,2,2,2,2,2,2
Rock,3,3,4,8,12,12,14,15,16,17,19,20
Rusk,0,0,0,0,0,0,0,0,0,0,0,1
St. Croix,3,4,4,4,4,4,4,4,5,6,6,7
Sauk,3,4,6,7,8,11,12,13,13,14,16,18
Sawyer,0,0,0,0,0,0,0,0,0,0,0,0
Shawano,0,0,0,0,0,0,0,0,0,0,0,0
Sheboygan,6,6,7,7,7,8,8,8,11,12,16,20
Taylor,0,0,0,0,0,0,0,0,0,0,0,0
Trempealeau,0,0,0,0,0,0,0,0,0,0,1,1
Vernon,0,0,0,0,0,0,0,0,0,0,0,0
Vilas,0,0,0,1,2,2,2,3,3,3,3,3
Walworth,3,4,5,5,5,6,6,6,6,12,15,15
Washburn,0,0,0,0,0,0,0,0,0,0,0,0
Washington,15,17,21,25,27,31,31,34,40,44,46,52
Waukesha,31,31,42,56,61,72,83,93,101,107,120,141
Waupaca,0,0,0,1,1,1,1,1,1,2,2,2
Waushara,0,0,0,0,0,0,0,0,0,0,0,0
Winnebago,5,5,5,6,6,7,8,10,11,19,24,24
Wood,1,1,1,1,2,2,2,2,2,2,2,2
Out of WI,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,61,0,0,0,0,0,0,0
