County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buffalo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Burnett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calumet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chippewa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dane,0,0,1,1,1,1,1,2,2,2,3,5,8,9,9
Dodge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Door,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eau Claire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fond du Lac,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juneau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenosha,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Kewaunee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Crosse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Langlade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manitowoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marathon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menominee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee,3,3,4,7,8,9,10,10,11,12,16,24,24,39,40
Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oconto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oneida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outagamie,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Ozaukee,1,1,1,1,3,3,3,3,5,5,5,5,5,6,6
Pepin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Price,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Racine,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Richland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rock,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2
Rusk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Croix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sauk,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2
Sawyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shawano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheboygan,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trempealeau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vernon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vilas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3
Waukesha,0,0,0,0,0,0,0,0,1,1,1,4,4,4,4
Waupaca,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Waushara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winnebago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,5,4,4,0,0
