County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Albany,0,0,1,1,1,1,1,1,1,3,3,4
Big Horn,0,0,0,0,0,0,0,0,0,0,0,0
Campbell,1,1,1,1,1,1,1,1,2,4,6,6
Carbon,1,2,3,3,3,3,3,3,3,3,3,3
Converse,0,0,0,0,0,1,1,1,1,2,2,3
Crook,0,0,0,0,0,0,0,0,0,0,0,0
Fremont,10,10,13,14,17,20,23,24,25,25,26,27
Goshen,0,0,0,0,1,1,1,1,1,1,1,2
Hot Springs,0,0,0,0,0,0,0,0,0,0,0,0
Johnson,0,0,0,1,4,5,5,5,7,7,8,8
Laramie,6,7,11,14,17,19,19,20,22,29,36,37
Lincoln,0,0,0,0,0,0,0,0,0,0,0,1
Natrona,1,2,4,6,8,8,8,10,12,15,19,21
Niobrara,0,0,0,0,0,0,0,0,0,0,0,0
Park,1,1,1,1,1,1,1,1,1,1,1,1
Platte,0,0,0,0,0,0,0,0,0,0,0,0
Sheridan,4,4,4,4,5,6,6,8,10,10,10,10
Sublette,0,0,0,0,0,1,1,1,1,1,1,1
Sweetwater,0,0,1,1,1,1,1,1,2,2,3,3
Teton,2,2,5,7,10,13,14,16,20,26,29,32
Uinta,0,0,0,0,0,0,0,0,0,0,1,1
Washakie,0,0,0,0,1,1,1,1,1,1,1,2
Weston,0,0,0,0,0,0,0,0,0,0,0,0
Out of WY,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0
